title,author,date,comments,rating,link,image,description
Disciples: Domination: Обзор второй части неоднозначного спин-оффа,Кирилл Волошин,Дата не указана,51,,https://stopgame.ru/show/158258/disciples_domination_review_vtoroy_chasti_neodnoznachnogo_spin_offa,https://images.stopgame.ru/articles/2026/02/16/c452x252/zjz2S_audP4BruLNopfYEA/J6PT0t0tc.jpg,
REANIMAL: Обзор долгожданной духовной наследницы Little Nightmares,Джуби,Дата не указана,12,,https://stopgame.ru/show/158338/reanimal_review_dolgozhdannoy_duhovnoy_naslednicy_little_nightmares,https://images.stopgame.ru/articles/2026/02/19/c452x252/SiK6fUEzKuUofuERx4Lqog/eOOuLk3.jpg,
Crisol: Theater of Idols: Обзор экшен-хоррора про ожившие статуи и кровь,Максим Захарчук,Дата не указана,16,,https://stopgame.ru/show/158320/crisol_theater_of_idols_review_ekshen_horrora_pro_ozhivshie_statui_i_krov,https://images.stopgame.ru/articles/2026/02/18/c452x252/oWNRp5YAVzCmwL-sTQDVQA/piaoN-t.jpg,
"Neverness to Everness: Превью игры, которую ждут миллионы",Алексей Лихачев,Дата не указана,57,,https://stopgame.ru/show/158251/neverness_to_everness_preview_igry_kotoruyu_zhdut_milliony,https://images.stopgame.ru/articles/2026/02/16/c452x252/K6LbKoqTacM76zdOH7FVMA/Vd7aRe3a8.jpg,
Code Vein II: Обзор неоднозначного анимешного соулслайка,Кирилл Волошин,Дата не указана,30,,https://stopgame.ru/show/157869/code_vein_ii_review_neodnoznachnogo_animeshnogo_soulslayka,https://images.stopgame.ru/articles/2026/02/08/c452x252/4ApUPZzhqUT9rnhQlmdfvA/AivdhdLhK.jpg,
Mewgenics: Обзор будущего хита от создателя «Айзека»,Алексей Лихачев,Дата не указана,75,,https://stopgame.ru/show/157870/mewgenics_review_buduschego_hita_ot_sozdatelya_ayzeka,https://images.stopgame.ru/articles/2026/02/08/c452x252/6YR5xvyqUa7Ux4kRy8aqSw/2jIhJBGKP.jpg,
I Hate This Place: Обзор атмосферного выживача в стиле ретрокомиксов,Джуби,Дата не указана,11,,https://stopgame.ru/show/157736/i_hate_this_place_review_atmosfernogo_vyzhivacha_v_stile_retrokomiksov,https://images.stopgame.ru/articles/2026/02/05/c452x252/BS9kICHPN3diJ1b4mvFhxA/r0lAQy6Z.jpg,
Cult of the Lamb: Woolhaven: Обзор лучшего зимнего дополнения,Джуби,Дата не указана,13,,https://stopgame.ru/show/156980/cult_of_the_lamb_woolhaven_review_luchshego_zimnego_dopolneniya,https://images.stopgame.ru/articles/2026/01/27/c452x252/7NbkT8z_dXg13pt8cFrP-w/zVKtdcK.jpg,
"MIO: Memories in Orbit: Обзор метроидвании, копирующей лучших",Алексей Лихачев,Дата не указана,36,,https://stopgame.ru/show/156981/mio_memories_in_orbit_review_metroidvanii_kopiruyuschey_luchshih,https://images.stopgame.ru/articles/2026/01/27/c452x252/S7CzU2xq9fCcw1KkpE3Ong/fJeToU96n.jpg,
Absolum: Обзор лучшей аркады 2025 года,Алексей Лихачев,Дата не указана,38,,https://stopgame.ru/show/156915/absolum_review_luchshey_arkady_2025_goda,https://images.stopgame.ru/articles/2026/01/22/c452x252/DYtOcrp4AuBxUa1VHINT8Q/jhhscBT.jpg,
Kejora: Обзор странных индонезийских дел,Джуби,Дата не указана,3,,https://stopgame.ru/show/156796/kejora_review_strannyh_indoneziyskih_del,https://images.stopgame.ru/articles/2026/01/18/c452x252/vtRZ7iH9h6kMbJkliFO0cQ/1M4Lme6.jpg,
Pathologic 3: Обзор самой странной русской игры,Кирилл Волошин,Дата не указана,90,,https://stopgame.ru/show/156794/pathologic_3_review_samoy_strannoy_russkoy_igry,https://images.stopgame.ru/articles/2026/01/17/c452x252/qTGgXtRDYY8OT56bAgu1oQ/3xgbSyq.jpg,
MAKOTO WAKAIDO's Case Files: Обзор детектива про пиксельного Коломбо,Джуби,Дата не указана,6,,https://stopgame.ru/show/156719/makoto_wakaidos_case_files_review_detektiva_pro_pikselnogo_kolombo,https://images.stopgame.ru/articles/2026/01/12/c452x252/szJTdcP7FKLzryzVVp96ww/4ReyD012t.jpg,
The Séance of Blake Manor: Обзор блистательного детектива,Алексей Лихачев,31 декабря 2025,6,,https://stopgame.ru/show/156408/the_s_ance_of_blake_manor_review_blistatelnogo_detektiva,https://images.stopgame.ru/articles/2025/12/29/c452x252/9leyuK-Z80g4igbJa0SWWA/9jEfh0y.jpg,
"UNBEATABLE: Обзор ритм-игры, которая на самом деле не ритм-игра",Алексей Лихачев,24 декабря 2025,3,,https://stopgame.ru/show/156279/unbeatable_review_ritm_igry_kotoraya_na_samom_dele_ne_ritm_igra,https://images.stopgame.ru/articles/2025/12/22/c452x252/kRaPjyzX9Zlh0Xtl-it6bw/PLBCvvRS9.jpg,
Terminator 2D: No Fate: Обзор ностальгического экшен-путешествия,Кирилл Волошин,21 декабря 2025,56,,https://stopgame.ru/show/156259/terminator_2d_no_fate_review_nostalgicheskogo_ekshen_puteshestviya,https://images.stopgame.ru/articles/2025/12/20/c452x252/9N2tAZH-59Fy8ex3V2zgig/qdWuu_b.jpg,
Skate Story: Обзор вдохновляющей игры о стеклянном скейтере,Алексей Лихачев,18 декабря 2025,4,,https://stopgame.ru/show/156235/skate_story_review_vdohnovlyayuschey_igry_o_steklyannom_skeytere,https://images.stopgame.ru/articles/2025/12/17/c452x252/vHiDdOCVHPFl0VDBxak7Rg/t_XJBmu.jpg,
Death Howl: Обзор уникального ККИ-соулслайка,Кирилл Волошин,17 декабря 2025,10,,https://stopgame.ru/show/156105/death_howl_review_unikalnogo_kki_soulslayka,https://images.stopgame.ru/articles/2025/12/17/c452x252/UeMMI7hZgf_trGASIn4pOQ/cZFDgRc.jpg,
Routine: Обзор одного из лучших хорроров года,Кирилл Волошин,14 декабря 2025,26,,https://stopgame.ru/show/156062/routine_review_odnogo_iz_luchshih_horrorov_goda,https://images.stopgame.ru/articles/2025/12/12/c452x252/M_EmWRCvIba5JM0thjnzEQ/peOYULGCO.jpg,
Where Winds Meet: Обзор самой эпической игры года,Кирилл Волошин,30 ноября 2025,49,,https://stopgame.ru/show/155682/where_winds_meet_review_samoy_epicheskoy_igry_goda,https://images.stopgame.ru/articles/2025/11/24/c452x252/CF-AsAoCkzjgBGE1C_bvJg/2uDQTeZd.jpg,
Demonschool: Обзор забавной истории с боями в духе Into the Breach,Алексей Лихачев,30 ноября 2025,6,,https://stopgame.ru/show/155843/demonschool_review_zabavnoy_istorii_s_boyami_v_duhe_into_the_breach,https://images.stopgame.ru/articles/2025/11/28/c452x252/pb6UjkYEhZu51jPBg7nL9g/mzhIb09Ur.jpg,
1000xRESIST: Обзор первоклассного sci-fi-приключения,Алексей Лихачев,25 ноября 2025,35,,https://stopgame.ru/show/155733/1000xresist_review_pervoklassnogo_sci_fi_priklyucheniya,https://images.stopgame.ru/articles/2025/11/24/c452x252/6Lx8vx6E6l0FPIrAkN8vkQ/p4lIl3zh_.jpg,
Moonlighter 2: The Endless Vault: Превью увлекательного рогалика про торговца артефактами,Джуби,24 ноября 2025,14,,https://stopgame.ru/show/155673/moonlighter_2_the_endless_vault_preview_uvlekatelnogo_rogalika_pro_torgovca_artefaktami,https://images.stopgame.ru/articles/2025/11/21/c452x252/feK3EHj8s84V5J4XBxJOHw/ahJo6ll.jpg,
Rue Valley: Обзор несостоявшейся наследницы Disco Elysium,Кирилл Волошин,22 ноября 2025,40,,https://stopgame.ru/show/155558/rue_valley_review_nesostoyavsheysya_naslednicy_disco_elysium,https://images.stopgame.ru/articles/2025/11/22/c452x252/XeSBJfra-iG-5rE6JVu_Mg/pp2EfSyep.jpg,
Dispatch: Обзор приключения в духе лучших игр Telltale,Алексей Лихачев,18 ноября 2025,266,,https://stopgame.ru/show/155367/dispatch_review_priklyucheniya_v_duhe_luchshih_igr_telltale,https://images.stopgame.ru/articles/2025/11/14/c452x252/sC3qxm6fl8Q6uG23y3yBQA/lR6UD-W.jpg,
The Outer Worlds 2: Обзор отличного сиквела,Джуби,16 ноября 2025,94,,https://stopgame.ru/show/155081/the_outer_worlds_2_review_otlichnogo_sikvela,https://images.stopgame.ru/articles/2025/11/08/c452x252/XexMun0i_qvVrxO9hHCE8w/gajD1rx.jpg,
Europa Universalis V: Обзор самой масштабной исторической стратегии,Степан Песков,14 ноября 2025,19,,https://stopgame.ru/show/155063/europa_universalis_v_review_samoy_masshtabnoy_istoricheskoy_strategii,https://images.stopgame.ru/articles/2025/11/14/c452x252/DnVqbNGapXWB9QIMHv6h6w/aIsrVS0zX.jpg,
ARC Raiders: Обзор нового мультиплеерного хита,Алексей Лихачев,8 ноября 2025,44,,https://stopgame.ru/show/155078/arc_raiders_review_novogo_multipleernogo_hita,https://images.stopgame.ru/articles/2025/11/07/c452x252/BVRIsG6MXrLhXdXcW3dJig/_5KHZl51.jpg,
Vampire: The Masquerade - Bloodlines 2: Обзор долгожданного сиквела главной вампирской саги,Кирилл Волошин,27 октября 2025,151,,https://stopgame.ru/show/154415/vampire_the_masquerade_bloodlines_2_review_dolgozhdannogo_sikvela_glavnoy_vampirskoy_sagi,https://images.stopgame.ru/articles/2025/10/25/c452x252/fwado_JqmKjRIx-n-kNCOQ/2g96Bqdyq.jpg,
Little Nightmares III: Обзор третьей части недетских кошмаров,Кирилл Волошин,22 октября 2025,22,,https://stopgame.ru/show/153951/little_nightmares_iii_review_tretey_chasti_nedetskih_koshmarov,https://images.stopgame.ru/articles/2025/10/22/c452x252/GKIqPq8h7t9R582OID5EzQ/_sD5hJp.jpg,
Endless Legend 2: Превью «французской Civilization»,Кирилл Волошин,20 октября 2025,4,,https://stopgame.ru/show/153431/endless_legend_2_preview_francuzskoy_civilization,https://images.stopgame.ru/articles/2025/10/20/c452x252/wWEdeOMV8g6w4-RDFOxtXg/AcRoSvuIT.jpg,
Ratopia: Обзор увлекательной стратегии про крысиную колонию,Джуби,17 октября 2025,14,,https://stopgame.ru/show/153656/ratopia_review_uvlekatelnoy_strategii_pro_krysinuyu_koloniyu,https://images.stopgame.ru/articles/2025/10/13/c452x252/QP8fmnOxXe64GqCtUcoHUQ/Uw_rG0s.jpg,
Final Fantasy Tactics: The Ivalice Chronicles: Обзор чудесного ремейка,Алексей Лихачев,13 октября 2025,25,,https://stopgame.ru/show/153583/final_fantasy_tactics_the_ivalice_chronicles_review_chudesnogo_remeyka,https://images.stopgame.ru/articles/2025/10/11/c452x252/4b3y1lA0kFYgKo2QRE62Vg/y_bbCvXIy.jpg,
"Bye Sweet Carole: Обзор наследницы Clock Tower, нарисованной в стиле Диснея",Катерина Краснопольская,12 октября 2025,26,,https://stopgame.ru/show/153571/bye_sweet_carole_review_naslednicy_clock_tower_narisovannoy_v_stile_disneya,https://images.stopgame.ru/articles/2025/10/12/c452x252/4dZMISuC2NWcGW85qVtWgw/n7nSrBlA.jpg,
Atelier Resleriana: The Red Alchemist & the White Guardian: Обзор новых алхимических приключений,Кирилл Волошин,9 октября 2025,10,,https://stopgame.ru/show/153277/atelier_resleriana_the_red_alchemist_and_the_white_guardian_review_novyh_alhimicheskih_priklyucheniy,https://images.stopgame.ru/articles/2025/10/06/c452x252/2xhANWGgjYZIBqurmGbQ9Q/Dgjopw-Zf.jpg,
Alien: Rogue Incursion Evolved Edition: Обзор «плоской» версии VR-хоррора,Максим Захарчук,9 октября 2025,15,,https://stopgame.ru/show/153375/alien_rogue_incursion_evolved_edition_review_ploskoy_versii_vr_horrora,https://images.stopgame.ru/articles/2025/10/08/c452x252/QQhqU6Di4fhtjz_72GeIYg/tC64fHVy.jpg,
CloverPit: Обзор рогалика о долговой яме,Алексей Лихачев,7 октября 2025,12,,https://stopgame.ru/show/153269/cloverpit_review_rogalika_o_dolgovoy_yame,https://images.stopgame.ru/articles/2025/10/06/c452x252/grzwR1JJt4xHPC28386aVA/c-RYv_Uyo.jpg,
The House of Tesla: Обзор идейной преемницы The House of Da Vinci,Катерина Краснопольская,5 октября 2025,10,,https://stopgame.ru/show/153189/the_house_of_tesla_review_ideynoy_preemnicy_the_house_of_da_vinci,https://images.stopgame.ru/articles/2025/10/04/c452x252/hPYTxW8CqMl2jRrYnoeIig/09rtRLFxO.jpg,
Sonic Racing: CrossWorlds: Обзор отличной аркадной гонки в духе Mario Kart,Алексей Лихачев,3 октября 2025,17,,https://stopgame.ru/show/153137/sonic_racing_crossworlds_review_otlichnoy_arkadnoy_gonki_v_duhe_mario_kart,https://images.stopgame.ru/articles/2025/10/02/c452x252/QNAd_XIkfD01Cmt4db8hDQ/fwuSOPn.jpg,
Hades II: Обзор самого вкусного рогалика года,Кирилл Волошин,30 сентября 2025,96,,https://stopgame.ru/show/152840/hades_ii_review_samogo_vkusnogo_rogalika_goda,https://images.stopgame.ru/articles/2025/09/29/c452x252/Gpm3D7xOMkAhPnwkZ-9Jtg/uZMHzkdG.jpg,
"Trails in the Sky 1st Chapter: Обзор, возможно, лучшего ремейка года",Кирилл Волошин,29 сентября 2025,43,,https://stopgame.ru/show/152755/trails_in_the_sky_1st_chapter_review_vozmozhno_luchshego_remeyka_goda,https://images.stopgame.ru/articles/2025/09/25/c452x252/LXLCGt5QV-jpuUy00-YVbA/CMAHGY-x-.jpg,
Borderlands 4: Обзор удачного продолжения,Алексей Лихачев,28 сентября 2025,84,,https://stopgame.ru/show/152783/borderlands_4_review_udachnogo_prodolzheniya,https://images.stopgame.ru/articles/2025/09/27/c452x252/R8CyCbWd8mvQPv6RF85gSQ/F2hyXVj3.jpg,
Dying Light: The Beast: Обзор работы над ошибками Dying Light 2,Кирилл Волошин,26 сентября 2025,56,,https://stopgame.ru/show/152663/dying_light_the_beast_review_raboty_nad_oshibkami_dying_light_2,https://images.stopgame.ru/articles/2025/09/26/c452x252/MVlpkPdKjvTJxn2iGeUqgw/NnzyU1P_.jpg,
Towa and the Guardians of the Sacred Tree: Обзор рогалика в духе Hades,Кирилл Волошин,25 сентября 2025,4,,https://stopgame.ru/show/152516/towa_and_the_guardians_of_the_sacred_tree_review_rogalika_v_duhe_hades,https://images.stopgame.ru/articles/2025/09/21/c452x252/poTd9aE4mE6jpxnVo7AvRQ/knEtCFwai.jpg,
Strange Antiquities: Обзор сиквела уникальной головоломки,Алексей Лихачев,20 сентября 2025,4,,https://stopgame.ru/show/152457/strange_antiquities_review_sikvela_unikalnoy_golovolomki,https://images.stopgame.ru/articles/2025/09/19/c452x252/Hr4eu0ctfanLp0Rnmk0Rzg/lhaEqKbV6.jpg,
Little Witch in the Woods: Обзор достойной соперницы Stardew Valley,Джуби,18 сентября 2025,18,,https://stopgame.ru/show/152309/little_witch_in_the_woods_review_dostoynoy_sopernicy_stardew_valley,https://images.stopgame.ru/articles/2025/09/18/c452x252/IeJSVG3x1jG6oBEVaAHhfQ/qqJki_o.jpg,
Gloomy Eyes: Обзор уютного хоррора в духе Тима Бёртона,Кирилл Волошин,17 сентября 2025,3,,https://stopgame.ru/show/152278/gloomy_eyes_review_uyutnogo_horrora_v_duhe_tima_bertona,https://images.stopgame.ru/articles/2025/09/17/c452x252/3EpBe6iVuGq5mglUaHCwtg/a8wHtwZhl.jpg,
Antioma: Обзор духовной наследницы Little Misfortune,Джуби,15 сентября 2025,16,,https://stopgame.ru/show/152159/antioma_review_duhovnoy_naslednicy_little_misfortune,https://images.stopgame.ru/articles/2025/09/13/c452x252/YWZ0ERrYf2t96rIvVRH22Q/RquNc-Oh.jpg,
METAL EDEN: Обзор драйвового арена-шутера,Кирилл Волошин,14 сентября 2025,15,,https://stopgame.ru/show/152086/metal_eden_review_drayvovogo_arena_shutera,https://images.stopgame.ru/articles/2025/09/14/c452x252/TWRxLM66c8mhtl09wJB0Dg/LF6y2tHvb.jpg,
Cronos: The New Dawn: Обзор хоррор-попурри от Bloober Team,Максим Захарчук,13 сентября 2025,13,,https://stopgame.ru/show/152153/cronos_the_new_dawn_review_horror_popurri_ot_bloober_team,https://images.stopgame.ru/articles/2025/09/12/c452x252/Cp2zwPmnHqPD2RbJhpXoQA/DEiRJ5F.jpg,
"Hollow Knight: Silksong: Обзор игры, которую хочется полюбить",Алексей Лихачев,10 сентября 2025,224,,https://stopgame.ru/show/152088/hollow_knight_silksong_review_igry_kotoruyu_hochetsya_polyubit,https://images.stopgame.ru/articles/2025/09/09/c452x252/mPyFPok9q2HBmoA19zyV3w/X2iPYJ5l.jpg,
Otherskin: Обзор морфологического экшн-приключения,Кирилл Волошин,9 сентября 2025,4,,https://stopgame.ru/show/152009/otherskin_review_morfologicheskogo_ekshn_priklyucheniya,https://images.stopgame.ru/articles/2025/09/06/c452x252/OqCnTF-XKBORFtGFzBoG2g/HaUhGGsp.jpg,
Daemon X Machina: Titanic Scion: Обзор амбициозного сиквела,Алексей Лихачев,8 сентября 2025,2,,https://stopgame.ru/show/151973/daemon_x_machina_titanic_scion_review_ambicioznogo_sikvela,https://images.stopgame.ru/articles/2025/09/05/c452x252/SrzPXPfbAtKay58xFXw9VQ/enPRBJnz.jpg,
The Rogue Prince of Persia: Обзор рогалика с лучшим паркуром,Алексей Лихачев,2 сентября 2025,21,,https://stopgame.ru/show/151608/the_rogue_prince_of_persia_review_rogalika_s_luchshim_parkurom,https://images.stopgame.ru/articles/2025/08/26/c452x252/iVhsi_p6cNBIzUJ-G1imaw/LVaf9sg.jpg,
Artis Impact: Обзор арт-инсталляции по мотивам NieR: Automata,Кирилл Волошин,31 августа 2025,7,,https://stopgame.ru/show/151613/artis_impact_review_art_installyacii_po_motivam_nier_automata,https://images.stopgame.ru/articles/2025/08/26/c452x252/KNtbvXdPvf9XUuh96mIJGA/XZZ2f7G.jpg,
Metal Gear Solid Delta: Snake Eater: Обзор солидного ремейка,Алексей Лихачев,31 августа 2025,66,,https://stopgame.ru/show/151699/metal_gear_solid_delta_snake_eater_review_solidnogo_remeyka,https://images.stopgame.ru/articles/2025/08/29/c452x252/7xScA-PO25BYfvJzXf6JcA/Qw_OtsGG.jpg,
Sword of the Sea: Обзор сёрфинг-приключения от авторов Journey,Максим Захарчук,29 августа 2025,1,,https://stopgame.ru/show/151609/sword_of_the_sea_review_serfing_priklyucheniya_ot_avtorov_journey,https://images.stopgame.ru/articles/2025/08/26/c452x252/D1lmtpz4UfKc_X6drv4LLA/KbYlb3LV.jpg,
Inkshade: Обзор тактической вариации Inscryption,Кирилл Волошин,23 августа 2025,23,,https://stopgame.ru/show/151436/inkshade_review_takticheskoy_variacii_inscryption,https://images.stopgame.ru/articles/2025/08/20/c452x252/7JDP539XoU5n--m7L026hw/ukicn03iF.jpg,
Herdling: Обзор необычного приключения от авторов FAR,Алексей Лихачев,21 августа 2025,6,,https://stopgame.ru/show/151329/herdling_review_neobychnogo_priklyucheniya_ot_avtorov_far,https://images.stopgame.ru/articles/2025/08/18/c452x252/fJfn4ufl4s9Mcc0OEcIGaw/J19_DUq.jpg,
Echoes of the End: Обзор противоречивого экшн-приключения,Кирилл Волошин,15 августа 2025,13,,https://stopgame.ru/show/151297/echoes_of_the_end_review_protivorechivogo_ekshn_priklyucheniya,https://images.stopgame.ru/articles/2025/08/15/c452x252/N7mINS6wcKmHW6KTqQFQzg/67ovFM1-P.jpg,
Static Dread: The Lighthouse: Обзор лавкрафтовского симулятора смотрителя маяка,Максим Захарчук,14 августа 2025,10,,https://stopgame.ru/show/151262/static_dread_the_lighthouse_review_lavkraftovskogo_simulyatora_smotritelya_mayaka,https://images.stopgame.ru/articles/2025/08/14/c452x252/cY6gIFQVBpkadbgXqSDYAg/kh2t6fW.jpg,
Titan Quest II: Превью по ранней версии,Кирилл Волошин,12 августа 2025,23,,https://stopgame.ru/show/150957/titan_quest_ii_preview_po_ranney_versii,https://images.stopgame.ru/articles/2025/08/12/c452x252/SOGYlgKtmF03ySxsUiMfXg/dnBUKpXk.jpg,
Day of the Shell: Обзор оригинального пошагового роуглайка,Алексей Лихачев,7 августа 2025,6,,https://stopgame.ru/show/150884/day_of_the_shell_review_originalnogo_poshagovogo_rouglayka,https://images.stopgame.ru/articles/2025/08/05/c452x252/7y5zTLr_CBv1qV-sJaQ5IA/79MELIjL.jpg,
"Killing Floor 3: Обзор игры, которой самое место в раннем доступе",Игорь Ерышев,4 августа 2025,17,,https://stopgame.ru/show/150591/killing_floor_3_review_igry_kotoroy_samoe_mesto_v_rannem_dostupe,https://images.stopgame.ru/articles/2025/07/31/c452x252/ltl2buBQyhQcCdsG0cgqXA/CxUzomP.jpg,
No Sleep For Kaname Date - From AI: The Somnium Files: Обзор озабоченного приключения,Кирилл Волошин,3 августа 2025,12,,https://stopgame.ru/show/150654/no_sleep_for_kaname_date_from_ai_the_somnium_files_review_ozabochennogo_priklyucheniya,https://images.stopgame.ru/articles/2025/08/01/c452x252/iH8BVab2l9y-LsRTODI8bA/RvZbWx1.jpg,
"Wuchang: Fallen Feathers: Обзор соулслайка, в котором мало нового",Алексей Лихачев,1 августа 2025,23,,https://stopgame.ru/show/150644/wuchang_fallen_feathers_review_soulslayka_v_kotorom_malo_novogo,https://images.stopgame.ru/articles/2025/08/01/c452x252/J1BxBLvRKC6KqiN8w2_QrA/HPEM1JD_P.jpg,
Wheel World: Обзор уникального приключения на велике,Кирилл Волошин,30 июля 2025,3,,https://stopgame.ru/show/150429/wheel_world_review_unikalnogo_priklyucheniya_na_velike,https://images.stopgame.ru/articles/2025/07/27/c452x252/M9dTFQ8dKD_iNxCNy9xHPQ/QeFFOx1.jpg,
UnderMine 2: Превью весёлого рогалика про шахту,Джуби,28 июля 2025,7,,https://stopgame.ru/show/150351/undermine_2_preview_veselogo_rogalika_pro_shahtu,https://images.stopgame.ru/articles/2025/07/25/c452x252/YZSLHTKh8A-bMty8xWru8g/XwNm_Si.jpg,
Back to the Dawn: Обзор игры о побеге животных из тюрьмы,Алексей Лихачев,28 июля 2025,16,,https://stopgame.ru/show/150446/back_to_the_dawn_review_igry_o_pobege_zhivotnyh_iz_tyurmy,https://images.stopgame.ru/articles/2025/07/28/c452x252/jhDSMw5TY0su6Z-_Qhf2Ug/MifCQkYTn.jpg,
Shadow Labyrinth: Обзор мрачной метроидвании о Пакмене,Алексей Лихачев,27 июля 2025,10,,https://stopgame.ru/show/150319/shadow_labyrinth_review_mrachnoy_metroidvanii_o_pakmene,https://images.stopgame.ru/articles/2025/07/25/c452x252/kbjCO4LJQpuLZnzO6lWqZA/ywpC9D_N.jpg,
The Drifter: Обзор захватывающего триллера на стыке нуара и мистики,Кирилл Волошин,25 июля 2025,8,,https://stopgame.ru/show/150205/the_drifter_review_zahvatyvayuschego_trillera_na_styke_nuara_i_mistiki,https://images.stopgame.ru/articles/2025/07/23/c452x252/h7acRnjLsfO3iX3Gv7Cj6A/rAFhUPNC.jpg,
Eriksholm: The Stolen Dream: Обзор очень линейного стелс-приключения,Алексей Лихачев,23 июля 2025,6,,https://stopgame.ru/show/150133/eriksholm_the_stolen_dream_review_ochen_lineynogo_stels_priklyucheniya,https://images.stopgame.ru/articles/2025/07/22/c452x252/-pGRY7EPwLjdbJNJihCYOQ/qCP7CRB.jpg,
Edens Zero: Обзор игроизации относительно свежей манги,Алексей Лихачев,23 июля 2025,11,,https://stopgame.ru/show/150063/edens_zero_review_igroizacii_otnositelno_svezhey_mangi,https://images.stopgame.ru/articles/2025/07/20/c452x252/B7UwuzrNQKYYkkxIIqtcbQ/xcTws_qWQ.jpg,
Everdeep Aurora: Обзор мирного приключения,Кирилл Волошин,16 июля 2025,4,,https://stopgame.ru/show/149900/everdeep_aurora_review_mirnogo_priklyucheniya,https://images.stopgame.ru/articles/2025/07/16/c452x252/bqKNn7a0Yb0d9VRDxAYBuA/NQ7jWRpa.jpg,
Broken Arrow: Обзор главного варгейма года,Кирилл Волошин,12 июля 2025,70,,https://stopgame.ru/show/149524/broken_arrow_review_glavnogo_vargeyma_goda,https://images.stopgame.ru/articles/2025/07/12/c452x252/4OBFBFuY8ZYdLGK5lFvn3g/ImpNganE.jpg,
Mecha BREAK: Обзор игры о сражениях больших мех,Алексей Лихачев,11 июля 2025,12,,https://stopgame.ru/show/149419/mecha_break_review_igry_o_srazheniyah_bolshih_meh,https://images.stopgame.ru/articles/2025/07/08/c452x252/0r9sA0QnD95hCGcj4GhfRQ/aneMo_TXi.jpg,
System Shock 2: 25th Anniversary Remaster: Обзор юбилейной версии,Катерина Краснопольская,9 июля 2025,37,,https://stopgame.ru/show/149431/system_shock_2_25th_anniversary_remaster_review_yubileynoy_versii,https://images.stopgame.ru/articles/2025/07/08/c452x252/UJvDYWj4mFtt240OLBLgWw/cRXBfitx.jpg,
